"X","CodIstat","Comune","Anno","Total","Male","Female"
538,58116,"Ladispoli",2009,39376,19475,19901
539,58116,"Ladispoli",2010,40279,19933,20346
540,58116,"Ladispoli",2011,41035,20314,20721
541,58050,"Lanuvio",2002,9990,4976,5014
542,58050,"Lanuvio",2003,10194,5070,5124
543,58050,"Lanuvio",2004,10540,5271,5269
544,58050,"Lanuvio",2005,10933,5524,5409
545,58050,"Lanuvio",2006,11402,5784,5618
546,58050,"Lanuvio",2007,11704,5925,5779
547,58050,"Lanuvio",2008,12185,6146,6039
548,58050,"Lanuvio",2009,12581,6335,6246
549,58050,"Lanuvio",2010,12894,6486,6408
550,58050,"Lanuvio",2011,13147,6613,6534
551,58115,"Lariano",2002,10379,5103,5276
552,58115,"Lariano",2003,10592,5213,5379
553,58115,"Lariano",2004,10846,5335,5511
554,58115,"Lariano",2005,11060,5477,5583
555,58115,"Lariano",2006,11295,5594,5701
556,58115,"Lariano",2007,11605,5769,5836
557,58115,"Lariano",2008,12009,5953,6056
558,58115,"Lariano",2009,12457,6182,6275
559,58115,"Lariano",2010,12721,6308,6413
560,58115,"Lariano",2011,13011,6442,6569
561,58051,"Licenza",2002,955,464,491
562,58051,"Licenza",2003,954,468,486
563,58051,"Licenza",2004,949,468,481
564,58051,"Licenza",2005,925,465,460
565,58051,"Licenza",2006,942,477,465
566,58051,"Licenza",2007,945,475,470
567,58051,"Licenza",2008,980,500,480
568,58051,"Licenza",2009,1012,519,493
569,58051,"Licenza",2010,1019,520,499
570,58051,"Licenza",2011,1021,530,491
571,58052,"Magliano Romano",2002,1304,665,639
572,58052,"Magliano Romano",2003,1312,657,655
